job_id,collection_date,country,city,job_title,company,source,job_url,employment_type,work_mode,seniority,salary_min,salary_max,currency,years_experience_min,years_experience_max,education_requirement,description_short,skills_text,notes
CAN_001,2026-05-21,Canada,Toronto,"Data and Business Intelligence Analyst, Intern (Fall 2026, 12 months)",Hitachi Rail Canada Inc.,Hitachi Careers,https://careers.hitachi.com/jobs/17723563-data-and-business-intelligence-analyst-intern-fall-2026-12-months,Internship/Co-op,Hybrid,Internship,23,30,CAD,,,"4th or 5th year in Computer Science, Software Engineering, or IT program; Bachelor's, Master's, or equivalent experience","Supports Power BI reporting, data modeling, AI initiatives, report testing, and dataset usability improvements.","SQL, Python, Power BI, Data Visualization, Dashboarding, Reporting, Quality Assurance, Technical Documentation, Stakeholder Communication, Presentation Skills","Salary listed hourly; full-time 12-month Fall 2026 internship; minimum 2 days in Toronto office."
CAN_002,2026-05-21,Canada,Toronto,"Business Analyst (Engineering) Intern (Fall 2026 / 8-12 months)",Hitachi Rail Canada Inc.,Hitachi Careers,https://careers.hitachi.com/jobs/17740624-business-analyst-engineering-intern-fall-2026-slash-8-12-months,Internship/Co-op,Hybrid,Internship,23,30,CAD,,,"Working toward a Bachelor's or Master's degree in an engineering-related or data-related field","Uses BI reports, dataset analysis, ROI thinking, and Power BI prototypes to support engineering process improvement.","SQL, Python, Power BI, Dashboarding, Reporting, Data Visualization, Stakeholder Communication, Presentation Skills","Salary listed hourly; full-time 8-12 month Fall 2026 internship; minimum 2 days per week in office."
CAN_003,2026-05-21,Canada,Mississauga,data analyst - informatics and systems,Snappay Inc.,Job Bank,https://www.jobbank.gc.ca/jobsearch/jobposting/49097876,Full-time,On-site,Junior,44.50,44.50,CAD,1,2,Bachelor's degree or equivalent experience,"Analyzes database systems, documents data requirements, writes SQL-related scripts, and supports data administration.","SQL, Reporting, Technical Documentation, Stakeholder Communication","Salary listed hourly; permanent full-time role; advertised until 2026-05-31."
CAN_004,2026-05-21,Canada,Mississauga,data quality analyst,Planta Greenhouses,Job Bank,https://www.jobbank.gc.ca/jobsearch/jobposting/49434675,Full-time,On-site,Junior,44.50,44.50,CAD,1,2,Secondary school graduation certificate,"Collects data, documents reporting needs, tests database models, and supports data standards and backup procedures.","Reporting, Technical Documentation, Quality Assurance","Salary listed hourly; permanent full-time role; advertised until 2026-05-22."
CAN_005,2026-05-21,Canada,Montréal,"business analyst, informatics",IMDS Software Inc.,Job Bank,https://www.sk.jobbank.gc.ca/jobsearch/jobposting/49511263,Full-time,On-site,Junior,70000,70000,CAD,1,2,Bachelor's degree in Computer Science or Computer Software Engineering,"Documents business requirements, supports information systems solutions, QA reviews, testing documentation, and client requirement discussions.","SQL, Python, Quality Assurance, Manual Testing, Technical Documentation, Stakeholder Communication","Salary listed annually; bilingual role; permanent full-time role; advertised until 2026-05-28."
CAN_006,2026-05-21,Canada,Toronto,Junior Data Analyst,Procom,Procom,https://myprocom-portal.procomservices.com/jobs/31398b3f-dc84-41d0-a49c-d511b313b6ff,Contract,Hybrid,Junior,24,30,CAD,2,3,,"Supports banking B2B portfolio reporting, validation, analysis, stakeholder coordination, and Power BI/Excel documentation.","Excel, Power BI, Reporting, Data Cleaning, Stakeholder Communication, Presentation Skills, Technical Documentation","Salary listed hourly; 6-month contract; hybrid with 2 days onsite; junior role asks for 2-3 years."
CAN_007,2026-05-21,Canada,"Burnaby / Oakville / Toronto","Data Analyst Intern, Customer Success Operations (Fall/September 2026, 12 Months)",Geotab,Greenhouse,https://job-boards.greenhouse.io/internshiplist2000/jobs/5185496008,Internship,Hybrid,Internship,24,39,CAD,0,1,"Pursuing a degree in STEM, Data Science, Data Analytics, Business Analytics, or a related field.","Supports customer success analytics, reporting models, data pipelines, data quality, and stakeholder-ready insights.","SQL, Tableau, Looker, Google Cloud, Data Cleaning, Data Visualization, Dashboarding, Reporting, Stakeholder Communication","Salary listed hourly; 12-month paid internship; full-time 37.5 hours/week."
CAN_008,2026-05-21,Canada,Calgary,September 2026 IT Analytics Coop Student,ATCO Ltd. - Common Groups,Workopolis,https://www.workopolis.com/jobsearch/viewjob/gHF-bEG1wGazApFPxe9aH5HuStncR---_ujUTz4dlaoXyGtyXijgAZIaJXcJaHoi,Internship/Co-op,,Co-op,24,36,CAD,0,1,"Enrolled in a recognized Canadian university co-op/internship program in Data Analytics, Computer Science, Information Systems, Engineering, Mathematics/Statistics, or related.","Supports billing-system operations, database querying, QA testing, Power BI/Python development, documentation, automation, and data analysis.","Python, Power BI, Statistics, Quality Assurance, Manual Testing, Technical Documentation, Data Cleaning, Reporting","Salary listed hourly; 12-month co-op; salary dependent on previous work-term experience."
CAN_009,2026-05-21,Canada,Toronto,"Co-op or Intern, Data & Analytics (September 2026)",BDO,Workopolis,https://www.workopolis.com/jobsearch/viewjob/5uqJ4bUNvEZMqFHKLMUa2cDSLU12rUzaCqPYKH1FTzfbbmIOayZLfcosj34kp3UF,Internship/Co-op,Hybrid,Co-op,53000,78000,CAD,0,1,"Candidate for Math, Computer Science, Engineering, or related field.","Supports client analytics solutions, business requirements, documentation, solution development, and delivery of data projects.","SQL, Python, Azure, ETL, Stakeholder Communication, Technical Documentation, Reporting","Salary listed annually; blended office/client-site/virtual work model."
CAN_010,2026-05-21,Canada,Montréal,"Data Scientist – 4-month Internship/Co-op (Fall 2026)",Intact,Workopolis,https://www.workopolis.com/jobsearch/viewjob/h9W-ByEmEii-IpzLKc9efyq44dPOJYr6Dbyx2VarlWcS8-Amb52D2jxlf1DTLDBp,Internship/Co-op,Hybrid,Internship,66500,83100,CAD,0,1,"Pursuing a Bachelor's, Master's, or PhD in artificial intelligence, data science, computer science, mathematics, statistics, or related field.","Builds analytical and machine-learning code, translates multi-source data into insights, and communicates findings through visualizations.","Python, R, Machine Learning, Statistics, Data Visualization, Stakeholder Communication, Technical Documentation","Salary listed annually; 35-hour workweek; previous data science internship is an asset; applications close May 22, 2026."
